Dataset,Model,MAE,RMSE,MAPE,R2
Delhi,Random Forest,36.61117199953561,100.49005870746136,0.7573968553476412,0.9946799013854057
Delhi,XGBoost,54.61550508125703,132.2173269404447,1.0865145555505993,0.9907901993866417
Delhi,LSTM,30.937685056273697,81.12548977887432,0.708450346458274,0.996532726133644
Delhi,GRU,28.11097957670249,80.02732585023855,0.6255828066079302,0.9966259610434072
UK,Random Forest,288.0377040546252,396.2573544069944,1.143747708055449,0.9955404310008181
UK,XGBoost,325.1302795410156,445.90601237816924,1.3376030594072748,0.9943529367446899
UK,LSTM,257.82993022475785,341.51198773159183,1.0149103270816693,0.996687543969352
UK,GRU,285.23904934915475,370.1472340664546,1.1372916340746635,0.9961087670267144
